agent.name,rule.firedtimes,rule.description,timestamp,rule.level,rule.nist_800_53,location,rule.mitre.tactic,rule.mitre.technique,Count
HarrysLaptop,1,Failed attempt to perform a privileged operation,"Nov 29, 2022 14:17:37.180",4,AC.6,EventChannel,Defense Evasion,Valid Accounts,1
HarrysLaptop,1,Failed attempt to perform a privileged operation,"Nov 29, 2022 14:17:37.180",4,AC.6,EventChannel,Initial Access,Valid Accounts,1
HarrysLaptop,1,Failed attempt to perform a privileged operation,"Nov 29, 2022 14:17:37.180",4,AC.6,EventChannel,Persistence,Valid Accounts,1
HarrysLaptop,1,Failed attempt to perform a privileged operation,"Nov 29, 2022 14:17:37.180",4,AC.6,EventChannel,Privilege Escalation,Valid Accounts,1
HarrysLaptop,1,Failed attempt to perform a privileged operation,"Nov 29, 2022 14:17:37.180",4,AU.14,EventChannel,Defense Evasion,Valid Accounts,1
HarrysLaptop,1,Failed attempt to perform a privileged operation,"Nov 29, 2022 14:17:37.180",4,AU.14,EventChannel,Initial Access,Valid Accounts,1
HarrysLaptop,1,Failed attempt to perform a privileged operation,"Nov 29, 2022 14:17:37.180",4,AU.14,EventChannel,Persistence,Valid Accounts,1
HarrysLaptop,1,Failed attempt to perform a privileged operation,"Nov 29, 2022 14:17:37.180",4,AU.14,EventChannel,Privilege Escalation,Valid Accounts,1
HarrysLaptop,1,Failed attempt to perform a privileged operation,"Nov 29, 2022 15:00:01.180",4,AC.6,EventChannel,Defense Evasion,Valid Accounts,1
HarrysLaptop,1,Failed attempt to perform a privileged operation,"Nov 29, 2022 15:00:01.180",4,AC.6,EventChannel,Initial Access,Valid Accounts,1
HarrysLaptop,1,Failed attempt to perform a privileged operation,"Nov 29, 2022 15:00:01.180",4,AC.6,EventChannel,Persistence,Valid Accounts,1
HarrysLaptop,1,Failed attempt to perform a privileged operation,"Nov 29, 2022 15:00:01.180",4,AC.6,EventChannel,Privilege Escalation,Valid Accounts,1
HarrysLaptop,1,Failed attempt to perform a privileged operation,"Nov 29, 2022 15:00:01.180",4,AU.14,EventChannel,Defense Evasion,Valid Accounts,1
HarrysLaptop,1,Failed attempt to perform a privileged operation,"Nov 29, 2022 15:00:01.180",4,AU.14,EventChannel,Initial Access,Valid Accounts,1
HarrysLaptop,1,Failed attempt to perform a privileged operation,"Nov 29, 2022 15:00:01.180",4,AU.14,EventChannel,Persistence,Valid Accounts,1
HarrysLaptop,1,Failed attempt to perform a privileged operation,"Nov 29, 2022 15:00:01.180",4,AU.14,EventChannel,Privilege Escalation,Valid Accounts,1
HarrysLaptop,1,Failed attempt to perform a privileged operation,"Nov 29, 2022 16:00:01.357",4,AC.6,EventChannel,Defense Evasion,Valid Accounts,1
